Muž,"187,6",109.72
Muž,"174,7",73.62
Muž,"188,2",96.5
Muž,"182,2",99.81
Muž,"177,5",93.6
Muž,"170,8",69.04
Muž,"174,7",83.43
Muž,"173,6",76.19
Muž,"170,2",79.8
Muž,"161,2",70.94
Muž,"180,8",84.64
Muž,182,96.95
Muž,"164,5",75.81
Muž,176,85.93
Muž,"175,9",84.57
Muž,"171,8",78.1
Muž,"183,9",88.92
Muž,"162,5",78.42
Muž,"176,9",84.36
Muž,"172,6",82.75
Muž,"172,5",78.98
Muž,"176,4",89.69
Muž,168,67.66
Muž,191,103.76
Muž,"172,4",73.48
Muž,"173,1",87.25
Muž,"175,5",83.66
Muž,"184,9",93.82
Muž,"171,2",79.48
Muž,174,70.01
Muž,"174,3",85.05
Muž,188,96.57
Muž,"181,7",88.47
Muž,"175,7",93.07
Muž,"176,7",92.61
Muž,"178,8",87.5
Muž,"175,5",89.58
Muž,"170,7",83.38
Muž,"167,2",74.32
Muž,"163,3",73.98
Muž,"172,7",78.08
Muž,"183,4",88.02
Muž,"165,8",76.48
Muž,"167,9",73.12
Muž,"171,5",74.69
Muž,"178,1",85.69
Muž,"173,4",84.85
Muž,"183,3",94.83
Muž,"175,7",87.1
Muž,"185,1",95.86
Muž,"164,5",75.12
Muž,"178,3",91.2
Muž,174,78.66
Muž,171,82.29
Muž,"170,2",76.99
Muž,"168,9",74.08
Muž,"173,6",86.05
Muž,"179,8",87.15
Muž,"180,9",89.9
Muž,"177,8",95.04
Muž,"181,4",90.16
Muž,"176,7",89.85
Muž,"187,5",88.58
Muž,"170,2",74.82
Muž,"181,4",81.58
Muž,"165,8",70.42
Muž,"173,4",83.7
Muž,"184,8",100.1
Muž,173,83.15
Muž,175,89.11
Muž,176,83.73
Muž,"179,1",94.14
Muž,"176,9",80.38
Muž,"171,7",73.98
Muž,"184,2",98.07
Muž,181,92.83
Muž,"182,4",91.14
Muž,"183,5",100.2
Muž,"168,9",89.11
Muž,"167,7",76.49
Muž,"171,6",82.3
Muž,"173,3",90.11
Muž,"187,5",107.92
Muž,"177,3",78.49
Muž,"167,5",72.88
Muž,"180,5",85.55
Muž,"169,2",94.5
Muž,"175,1",87.74
Muž,"173,3",78.97
Muž,"183,7",89.52
Muž,"182,4",91.45
Muž,"165,7",82.11
Muž,"179,4",82.61
Muž,"164,4",80.53
Muž,"170,4",74.83
Muž,"165,4",75.17
Muž,"182,1",87.59
Muž,"169,8",81.96
Muž,"168,8",78.37
Muž,"176,3",80.5
Muž,"177,9",91.09
Muž,"169,5",76.09
Muž,"168,3",70.03
Muž,"173,6",80.73
Muž,178,83.43
Muž,"174,6",81.29
Muž,"171,6",71.93
Muž,"168,3",75.52
Muž,"175,7",78.01
Muž,"171,7",79.09
Muž,176,85.16
Muž,"173,2",91.39
